Steam ID,Game,Price
1262436,The Legend of Heroes: Trails of Cold Steel III  - Snow Leopard Set,$0.99
1262437,The Legend of Heroes: Trails of Cold Steel III  - Standard Glasses Set,$0.99
1262438,The Legend of Heroes: Trails of Cold Steel III  - Stylish Sunglasses Set,$0.99
1262340,The Legend of Heroes: Trails of Cold Steel III  - Advanced Medicine Set 3,$0.99
1262393,The Legend of Heroes: Trails of Cold Steel III  - Spirit Incense Set 1,$0.99
1262394,The Legend of Heroes: Trails of Cold Steel III  - Spirit Incense Set 2,$0.99
1262395,The Legend of Heroes: Trails of Cold Steel III  - Spirit Incense Set 3,$0.99
1262396,The Legend of Heroes: Trails of Cold Steel III  - U-Material Set 1,$0.99
1262397,The Legend of Heroes: Trails of Cold Steel III  - U-Material Set 2,$0.99
1262398,The Legend of Heroes: Trails of Cold Steel III  - U-Material Set 3,$0.99
1262402,The Legend of Heroes: Trails of Cold Steel III  - Zeram Powder Set 1,$0.99
1262403,The Legend of Heroes: Trails of Cold Steel III  - Zeram Powder Set 2,$0.99
